FINAL AVERAGES: ,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0107811,11.8722,34.9988,6.25287
Sorted List,5.80944,21.4744,46.8349,9.84679
STL List,0.0455206,15.6299,45.1096,10.6472
BST Tree,0.0364651,0.041419,0.0192146,0.0340811
MAP,0.0925985,0.0684342,0.0708167,0.093073
Unordered MAP,0.0463955,0.0234598,0.0276015,0.0225477
HashTable_Multiplication,0.0356147,9.27523,0.0130257,5.23329
HashTable_Division,0.0242755,0.051241,0.00978865,0.055047
HashTable_LinearProbing,0.280112,0.105844,3.02558,0.228815
HashTable_QuadraticProbing,0.0168643,0.00968581,0.0634151,0.0132172
HashTable_Doublehashing,0.120759,0.0384664,0.00384652,0.0997798
