Obseravtion# 0,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0293176,13.3631,38.282,6.90934
Sorted List,17.7445,24.3793,51.635,10.9243
STL List,0.196023,17.8978,49.8222,11.7655
BST Tree,0.117785,0.0459264,0.0263152,0.0374703
MAP,0.386347,0.0757205,0.0798203,0.103919
Unordered MAP,0.162869,0.0272161,0.0332505,0.0255153
HashTable_Multiplication,0.179179,10.5653,0.015115,5.87261
HashTable_Division,0.0729275,0.059192,0.0108276,0.0619801
HashTable_LinearProbing,0.398005,0.121575,0.006424,0.261331
HashTable_QuadraticProbing,0.0544945,0.0116585,0.0715587,0.015069
HashTable_Doublehashing,0.16355,0.0437602,0.0044937,0.113908
,,,,
Obseravtion# 1,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0103478,13.0601,38.5338,6.82641
Sorted List,5.13974,23.8475,52.0584,10.7015
STL List,0.0362969,17.2678,49.9231,11.4712
BST Tree,0.0326171,0.0497716,0.0220205,0.0384205
MAP,0.0713036,0.0766925,0.0794055,0.104928
Unordered MAP,0.0396039,0.0272228,0.0320916,0.0244701
HashTable_Multiplication,0.0242254,10.5493,0.0151313,5.78292
HashTable_Division,0.0220508,0.058437,0.0111929,0.0600203
HashTable_LinearProbing,0.303817,0.117713,3.74414,0.254482
HashTable_QuadraticProbing,0.0153805,0.0104791,0.0716288,0.0145446
HashTable_Doublehashing,0.13341,0.042846,0.0042439,0.112077
,,,,
Obseravtion# 2,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0102643,12.9044,38.3743,6.83895
Sorted List,5.14188,23.6876,51.8019,10.8947
STL List,0.0353294,17.311,49.7116,11.6415
BST Tree,0.0312294,0.0457303,0.0276578,0.0380673
MAP,0.071206,0.0758245,0.0789426,0.104401
Unordered MAP,0.0396932,0.0261896,0.0313031,0.0250683
HashTable_Multiplication,0.0235317,10.2656,0.0144402,5.79094
HashTable_Division,0.0213228,0.0573083,0.0110112,0.0604172
HashTable_LinearProbing,0.295631,0.115403,3.74058,0.247722
HashTable_QuadraticProbing,0.0147546,0.010556,0.0710745,0.0148332
HashTable_Doublehashing,0.129975,0.0415714,0.0041863,0.108524
,,,,
Obseravtion# 3,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0098319,13.2657,39.1351,6.74551
Sorted List,5.17832,24.2255,52.5798,10.7002
STL List,0.0345488,17.4963,50.3801,11.7046
BST Tree,0.0314679,0.0479658,0.0250872,0.0376161
MAP,0.0706044,0.0787452,0.0818637,0.102206
Unordered MAP,0.0381359,0.0284154,0.0330615,0.0244059
HashTable_Multiplication,0.0232414,10.2346,0.0155085,5.6559
HashTable_Division,0.0217355,0.056963,0.0110828,0.0603469
HashTable_LinearProbing,0.283707,0.109961,3.74151,0.23616
HashTable_QuadraticProbing,0.0142655,0.0110132,0.0705909,0.0141964
HashTable_Doublehashing,0.123398,0.0410145,0.0047078,0.103897
,,,,
Obseravtion# 4,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0100636,13.0893,38.5458,6.88726
Sorted List,5.12126,23.7831,51.7211,10.9035
STL List,0.0348253,17.14,49.6715,11.8375
BST Tree,0.031728,0.0461744,0.0084644,0.0383349
MAP,0.0727085,0.0767677,0.0812325,0.102656
Unordered MAP,0.0397724,0.0258034,0.0304482,0.0251693
HashTable_Multiplication,0.0241745,10.1958,0.0144545,5.68594
HashTable_Division,0.0221133,0.0560874,0.0104939,0.0610259
HashTable_LinearProbing,0.312103,0.122589,3.73022,0.263347
HashTable_QuadraticProbing,0.0146836,0.0104597,0.0700342,0.0144581
HashTable_Doublehashing,0.135441,0.0447849,0.0043681,0.113544
,,,,
Obseravtion# 5,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0098935,13.1829,37.7668,6.62811
Sorted List,5.29388,24.04,50.9754,10.5602
STL List,0.0349611,17.2129,48.9082,11.3095
BST Tree,0.0314602,0.0451905,0.0194022,0.0363205
MAP,0.0713055,0.0788425,0.0741929,0.099304
Unordered MAP,0.0389915,0.0265945,0.0278648,0.0238425
HashTable_Multiplication,0.0243436,10.222,0.0134454,5.61572
HashTable_Division,0.0219045,0.0561899,0.0104766,0.0595791
HashTable_LinearProbing,0.301005,0.116576,3.67596,0.248821
HashTable_QuadraticProbing,0.0143511,0.0109646,0.0676736,0.01422
HashTable_Doublehashing,0.129473,0.0421871,0.004139,0.107821
,,,,
Obseravtion# 6,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0097896,12.8387,38.2894,7.26074
Sorted List,5.0489,23.0019,50.8011,11.5027
STL List,0.0326805,16.8231,49.3219,12.9436
BST Tree,0.0314692,0.0453561,0.0226771,0.0402621
MAP,0.0692434,0.0746589,0.0793647,0.110348
Unordered MAP,0.0377622,0.0246168,0.0287745,0.0276002
HashTable_Multiplication,0.0230068,10.0612,0.0135908,6.26298
HashTable_Division,0.0208657,0.0544111,0.0106267,0.0644966
HashTable_LinearProbing,0.297239,0.115574,3.65622,0.256532
HashTable_QuadraticProbing,0.0144054,0.0106228,0.0683429,0.0152486
HashTable_Doublehashing,0.12739,0.0414218,0.0040908,0.109928
,,,,
Obseravtion# 7,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.009952,12.8841,38.4412,6.82079
Sorted List,4.99622,23.066,50.9543,10.625
STL List,0.0325691,16.8787,49.3815,11.2822
BST Tree,0.031635,0.0436011,0.0168103,0.0351738
MAP,0.0697928,0.071689,0.0776285,0.0969409
Unordered MAP,0.0379267,0.0240715,0.0288263,0.0235812
HashTable_Multiplication,0.0239321,9.98337,0.0134692,5.63276
HashTable_Division,0.0215657,0.0549947,0.010253,0.0594377
HashTable_LinearProbing,0.292135,0.109944,3.6604,0.243188
HashTable_QuadraticProbing,0.0143162,0.0101182,0.0697013,0.0140079
HashTable_Doublehashing,0.12493,0.0386922,0.0040366,0.105103
,,,,
Obseravtion# 8,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.00934,12.9818,38.8066,6.8585
Sorted List,5.13458,23.1047,51.3196,10.669
STL List,0.0316908,16.9795,49.5534,11.4214
BST Tree,0.0308974,0.0427852,0.0189113,0.0372123
MAP,0.0677836,0.0717094,0.0738444,0.0986842
Unordered MAP,0.0379098,0.0239288,0.0297033,0.0242768
HashTable_Multiplication,0.0229761,10.0287,0.014097,5.65868
HashTable_Division,0.0211959,0.0554726,0.0114301,0.0593267
HashTable_LinearProbing,0.297754,0.118772,3.65388,0.250506
HashTable_QuadraticProbing,0.0144241,0.010224,0.0686803,0.014245
HashTable_Doublehashing,0.129803,0.044733,0.0040259,0.110221
,,,,
Obseravtion# 9,Insert,Search(Present),Search(Not Present): ,Delete
Unordered List,0.0097923,13.024,38.8121,7.00593
Sorted List,5.1045,23.0826,51.3369,10.8338
STL List,0.0318016,16.9225,49.5326,11.7424
BST Tree,0.0308269,0.0431071,0.0240145,0.0360144
MAP,0.0682888,0.0721264,0.0726883,0.100417
Unordered MAP,0.0376856,0.0239992,0.0282926,0.0240946
HashTable_Multiplication,0.0231512,9.92163,0.0140306,5.60779
HashTable_Division,0.0213493,0.0545952,0.0102803,0.0588867
HashTable_LinearProbing,0.29984,0.116177,3.67206,0.254872
HashTable_QuadraticProbing,0.0144322,0.0104478,0.0682804,0.0145661
HashTable_Doublehashing,0.130979,0.0421192,0.0040196,0.112554
